Title,Level,Taxon,Document_Type,Size,Creator,Date_of_creation,area,Access,Copyright_holder,Archive_name,Storage_location
Wincanton,item,Wincanton,,1,,1945,,,Somerset Heritage Centre (South West Heritage Trust),GB 168,Physical
Wincanton,item,Wincanton,,1,,1945,,,Somerset Heritage Centre (South West Heritage Trust),GB 168,Physical
"Unnamed carrier, Scotland, accounts",item,"Unnamed carrier, S…",accounts,,,[1800-2000],Edinburgh,,National Museums Scotland: Scottish Life Archive,GB 552,Physical
"James Fraser, blacksmith, day book",item,"James Fraser, blac…",day book,1,,[1920-1931],Edinburgh,,National Museums Scotland: Scottish Life Archive,GB 552,Physical
"Robert Gibson, joiner, account books, order book",item,"Robert Gibson, joi…","account books, order book",,,[1903-1944],Edinburgh,,National Museums Scotland: Scottish Life Archive,GB 552,Physical
"James Waite, blacksmith, day book of transactions",item,"James Waite, black…",day book,1,,[1854-1905],Edinburgh,,National Museums Scotland: Scottish Life Archive,GB 552,Physical
"Peter Pullar, Syde Farm, farm diaries and accounts",item,"Peter Pullar, Syde…",diaries and accounts,,,[1863-1934],Edinburgh,,National Museums Scotland: Scottish Life Archive,GB 552,Physical
"Whiteleys Farm, records",item,"Whiteleys Farm, re…",records,,,[1920-1990],Edinburgh,,National Museums Scotland: Scottish Life Archive,GB 552,Physical
"Robert Sinclair, joiner, cabinet maker and upholsterer, ledgers, cash and job books, estimate book",item,"Robert Sinclair, j…","cash book, job book, estimate book",,,[1942-1967],Edinburgh,,National Museums Scotland: Scottish Life Archive,GB 552,Physical
"Ross family of Pitcalnie, Ross family household, personal, factors and tacksmens accounts",item,Ross family of Pit…,accounts,,,[1710-1795],Edinburgh,,National Museums Scotland: Scottish Life Archive,GB 552,Physical
"Oldbury Baptist Church, minutes",item,Oldbury Baptist Ch…,minutes,,,[1866-1906],Smethwick,,Sandwell Community History and Archives Service,GB 146,Physical
"William Raybould, grocer, ledgers",item,"William Raybould,…",ledgers,,,[1859-1897],Smethwick,,Sandwell Community History and Archives Service,GB 146,Physical
"Property at Boscomore nr Penkridge, Staffs., quarterly",item,Property at Boscom…,"papers, records, accounts",39,,,Smethwick,,Sandwell Community History and Archives Service,GB 146,Physical
"Barwick Manor, map",item,"Barwick Manor, map",map,1,,1778,"Standon, Hertfordshire",,Hertfordshire Archives and Local Studies,GB 46,Physical
"Henry Murray, signed",item,"Henry Murray, sign…",photographs and correspondence,,,1890,Smethwick,,Sandwell Community History and Archives Service,GB 146,Physical
"Baldon St Lawrence Manor, map (copy made 18th cent)",item,Baldon St Lawrence…,map,1,,1799,Oxford,,Oxford University: Queen's College Library,GB 468,Physical
"Programme of Labour Party West Midlands Region, Women's Victory Rally at Birmingham Town Hall, 24 June. Mrs. C.R. Attlee, guest of honour",item,Programme of Labou…,photographs and other items,1,,1946,Smethwick,,Sandwell Community History and Archives Service,GB 146,Physical
"Licence to Drive a Motor Car, issued by Staffs. County Council under Motor Car Act 1903, to Bernard Gilbert Wagstaff of 49 Toll End Rd, Tipton. Valid 1926-1927. Licence no.5869",item,Licence to Drive a…,driving license,1,,1926,Smethwick,,Sandwell Community History and Archives Service,GB 146,Physical
E. Parkes & Co. Ltd ledger,item,E. Parkes & Co. Lt…,ledgers,1,,[1909-1932],Smethwick,,Sandwell Community History and Archives Service,GB 146,Physical
